Date,Time,Booking ID,Booking Status,Customer ID,Vehicle Type,Pickup Location,Drop Location,Cancelled Rides by Customer,Reason for cancelling by Customer,Cancelled Rides by Driver,Driver Cancellation Reason,Incomplete Rides,Incomplete Rides Reason,Booking Value,Ride Distance,Driver Ratings,Customer Rating,Payment Method
22-Sep-25,6:39:39,T1984811,Cancelled by Customer,C6701334,Auto,Dilshad Garden,Qutub Minar,1,Change of plans,,,,,,,,,
14-Jun-25,11:41:45,T2969701,Cancelled by Customer,C1401223,Auto,Delhi Gate,Chandni Chowk,1,Change of plans,,,,,,,,,
10-Oct-25,12:56:23,T6336375,Cancelled by Customer,C7874381,Auto,Laxmi Nagar,IGNOU Road,1,Change of plans,,,,,,,,,
30-Jul-25,10:39:07,T1997739,Cancelled by Customer,C3565599,Auto,Seelampur,Kalkaji,1,Change of plans,,,,,,,,,
15-Jun-25,8:37:03,T9352835,Cancelled by Customer,C4457487,Auto,Manesar,Old Gurgaon,1,Change of plans,,,,,,,,,
21-Jan-25,8:42:08,T6414402,Cancelled by Customer,C3449198,Auto,New Colony,Tis Hazari,1,Change of plans,,,,,,,,,
28-Aug-25,15:34:35,T2988976,Cancelled by Customer,C4131442,Auto,Mansarovar Park,Inderlok,1,Change of plans,,,,,,,,,
05-Dec-25,13:08:26,T5098028,Cancelled by Customer,C2221740,Auto,Botanical Garden,Rohini East,1,Change of plans,,,,,,,,,
16-Jun-25,13:46:37,T9989963,Cancelled by Customer,C4130738,Auto,Maidan Garhi,Shastri Nagar,1,Change of plans,,,,,,,,,
30-Oct-25,18:32:21,T4929525,Cancelled by Customer,C8777015,Auto,Nehru Place,Anand Vihar,1,Change of plans,,,,,,,,,
05-Aug-25,13:38:03,T3524426,Cancelled by Customer,C9519002,Auto,Paharganj,Central Secretariat,1,Change of plans,,,,,,,,,
14-Sep-25,19:18:23,T2075425,Cancelled by Customer,C8086242,Auto,Gwal Pahari,Golf Course Road,1,Change of plans,,,,,,,,,
20-Feb-25,11:04:36,T3455860,Cancelled by Customer,C9391456,Auto,Sikanderpur,Kherki Daula Toll,1,Change of plans,,,,,,,,,
01-Dec-25,22:13:36,T1295076,Cancelled by Customer,C6314666,Auto,Akshardham,Panipat,1,Change of plans,,,,,,,,,
15-Apr-25,8:01:10,T3480560,Cancelled by Customer,C8979033,Auto,Rajiv Nagar,Nawada,1,Change of plans,,,,,,,,,
18-Nov-25,15:37:03,T6149104,Cancelled by Customer,C7396686,Auto,India Gate,Rajiv Chowk,1,Change of plans,,,,,,,,,
06-Sep-25,10:06:13,T4498522,Cancelled by Customer,C6439948,Auto,Hauz Khas,Seelampur,1,Change of plans,,,,,,,,,
13-Oct-25,14:03:54,T5259579,Cancelled by Customer,C8308228,Auto,Greater Noida,Mansarovar Park,1,Change of plans,,,,,,,,,
05-May-25,9:51:42,T6642825,Cancelled by Customer,C7843337,Auto,Ghaziabad,Dwarka Mor,1,Change of plans,,,,,,,,,
03-Oct-25,19:02:41,T9458718,Cancelled by Customer,C3782867,Auto,Kalkaji,Tagore Garden,1,Change of plans,,,,,,,,,
04-Nov-25,7:41:36,T7037461,Cancelled by Customer,C2824504,Auto,Punjabi Bagh,Greater Kailash,1,Change of plans,,,,,,,,,
06-Sep-25,21:11:04,T6846153,Cancelled by Customer,C5751566,Auto,Welcome,Nehru Place,1,Change of plans,,,,,,,,,
08-Jan-25,20:20:31,T9873861,Cancelled by Customer,C5717607,Auto,Sonipat,Greater Kailash,1,Change of plans,,,,,,,,,
24-May-25,22:57:50,T1060688,Cancelled by Customer,C1551740,Auto,Preet Vihar,Dilshad Garden,1,Change of plans,,,,,,,,,
09-Nov-25,11:20:25,T9779743,Cancelled by Customer,C9961616,Auto,Noida Sector 18,Kalkaji,1,Change of plans,,,,,,,,,
18-Sep-25,23:26:28,T4945145,Cancelled by Customer,C4533849,Auto,Ardee City,Ashok Vihar,1,Change of plans,,,,,,,,,
10-Nov-25,23:17:38,T9525052,Cancelled by Customer,C6661418,Auto,Pataudi Chowk,RK Puram,1,Change of plans,,,,,,,,,
05-Jul-25,16:21:40,T7620522,Cancelled by Customer,C9999806,Auto,Khan Market,Preet Vihar,1,Change of plans,,,,,,,,,
16-Jan-25,21:16:02,T7189762,Cancelled by Customer,C9186105,Auto,Rohini,Mansarovar Park,1,Change of plans,,,,,,,,,
08-Apr-25,18:56:16,T2026122,Cancelled by Customer,C6603818,Auto,Kadarpur,Akshardham,1,Change of plans,,,,,,,,,
18-Jan-25,21:46:21,T7700264,Cancelled by Customer,C8355413,Auto,Ashram,Chanakyapuri,1,Change of plans,,,,,,,,,
12-Apr-25,9:00:27,T7664029,Cancelled by Customer,C7026270,Auto,IGI Airport,Vidhan Sabha,1,Change of plans,,,,,,,,,
09-Jun-25,12:36:10,T3972123,Cancelled by Customer,C3482072,Auto,Noida Extension,Gurgaon Sector 56,1,Change of plans,,,,,,,,,
